Loop,Nand Write,Host Write,WAF
100,5708,5708,1.000000
200,5808,5808,1.000000
300,5978,5908,1.011848
400,6452,6008,1.073901
500,7007,6108,1.147184
600,7611,6208,1.225999
700,8180,6308,1.296766
800,8748,6408,1.365169
900,9376,6508,1.440688
1000,9932,6608,1.503027
1100,10536,6708,1.570662
1200,11175,6808,1.641451
1300,11755,6908,1.701650
1400,12299,7008,1.754994
1500,12927,7108,1.818655
1600,13495,7208,1.872225
1700,14064,7308,1.924466
1800,14692,7408,1.983261
1900,15248,7508,2.030900
2000,15816,7608,2.078864
2100,16432,7708,2.131811
2200,16988,7808,2.175717
2300,17555,7908,2.219904
2400,18160,8008,2.267732
2500,18715,8108,2.308214
2600,19259,8208,2.346369
2700,19852,8308,2.389504
2800,20420,8408,2.428639
2900,20987,8508,2.466737
3000,21616,8608,2.511152
3100,22183,8708,2.547428
3200,22763,8808,2.584355
3300,23391,8908,2.625842
3400,23960,9008,2.659858
3500,24528,9108,2.693017
3600,25155,9208,2.731864
3700,25699,9308,2.760958
3800,26244,9408,2.789541
3900,26860,9508,2.824989
4000,27403,9608,2.852102
4100,27948,9708,2.878863
4200,28564,9808,2.912316
4300,29120,9908,2.939039
4400,29688,10008,2.966427
4500,30328,10108,3.000396
4600,30884,10208,3.025470
4700,31451,10308,3.051125
4800,32068,10408,3.081091
4900,32612,10508,3.103540
5000,33143,10608,3.124340
5100,33735,10708,3.150448
5200,34291,10808,3.172742
5300,34836,10908,3.193619
5400,35451,11008,3.220476
5500,35996,11108,3.240547
5600,36563,11208,3.262223
5700,37156,11308,3.285815
5800,37723,11408,3.306715
5900,38280,11508,3.326382
6000,38919,11608,3.352774
6100,39487,11708,3.372651
6200,40055,11808,3.392192
6300,40695,11908,3.417450
6400,41264,12008,3.436376
6500,41820,12108,3.453915
6600,42436,12208,3.476081
6700,42980,12308,3.492038
6800,43547,12408,3.509591
6900,44176,12508,3.531820
7000,44720,12608,3.546954
7100,45275,12708,3.562716
7200,45868,12808,3.581199
7300,46435,12908,3.597381
7400,46991,13008,3.612469
7500,47607,13108,3.631904
7600,48152,13208,3.645669
7700,48731,13308,3.661782
7800,49360,13408,3.681384
7900,49927,13508,3.696106
8000,50495,13608,3.710685
8100,51111,13708,3.728553
8200,51679,13808,3.742685
8300,52236,13908,3.755824
8400,52815,14008,3.770346
8500,53371,14108,3.783031
8600,53927,14208,3.795538
8700,54556,14308,3.812972
8800,55124,14408,3.825930
8900,55691,14508,3.838641
9000,56295,14608,3.853710
9100,56875,14708,3.866943
9200,57443,14808,3.879187
9300,58047,14908,3.893681
9400,58604,15008,3.904851
9500,59184,15108,3.917395
9600,59812,15208,3.932930
9700,60344,15308,3.941991
9800,60900,15408,3.952492
9900,61527,15508,3.967436
9999,62094,15607,3.978599
